,,Overall,,,,,,,Conf.,,,Home,,,Away,,,Points,,,School Advanced,,,,,,,,,,,,
Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
263,Sam Houston Bearkats,10,7,3,0.7,7.96,5.21,,,,,3,0,,2,3,,862,753,,73.9,116.7,0.325,0.397,0.567,55.1,52.8,10.7,10.4,0.529,14,39.9,0.252
264,Samford Bulldogs,12,6,6,0.5,-8.7,-2.07,,,,,3,1,,2,4,,919,937,,69.9,107.3,0.401,0.473,0.53,48.4,52.5,7,7.6,0.496,11.8,26.4,0.271
265,San Diego Toreros,10,4,6,0.4,-5.41,-0.63,,,,,4,3,,0,2,,744,758,,69.9,106.5,0.278,0.441,0.55,46.7,58.2,11.7,10.7,0.514,16.3,32,0.218
266,San Diego State Aztecs,9,6,3,0.667,13.98,6.64,,1,0,,5,1,,0,0,,736,670,,70.2,113.4,0.362,0.356,0.589,51.4,60.2,11.6,15.4,0.553,16.8,33.7,0.274
267,San Francisco Dons,12,7,5,0.583,5.3,2.94,,,,,4,1,,0,2,,906,835,,67.1,112.5,0.368,0.484,0.572,52.3,59.2,8.2,10.5,0.542,14.8,33.1,0.26
268,San Jose State Spartans,11,5,6,0.455,-0.88,2.42,,,,,4,2,,0,3,,833,812,,66.7,112.3,0.345,0.345,0.556,50.4,42.1,9.6,5.6,0.524,15,36.5,0.245
269,Santa Clara Broncos,12,9,3,0.75,12.92,5.19,,,,,6,0,,1,1,,950,835,,69.9,113.3,0.244,0.456,0.541,53.8,61.3,12.3,14.9,0.521,14.5,40.3,0.165
270,Seattle Redhawks,11,9,2,0.818,5.75,-2.25,,,,,6,1,,2,0,,912,731,,70.6,117.5,0.366,0.35,0.61,53.4,50.9,12.6,14.6,0.59,15.6,33.1,0.251
271,Seton Hall Pirates,11,10,1,0.909,14.65,-0.26,,,,,7,0,,1,0,,842,678,,67.3,113.8,0.354,0.306,0.557,52,56.3,16.2,21.8,0.515,13.3,34.9,0.27
272,Siena Saints,12,9,3,0.75,-2.19,-9.36,,2,0,,4,1,,3,2,,844,758,,65.4,107.6,0.357,0.309,0.539,53.1,51.5,11.1,8.9,0.504,14.4,33.3,0.254
273,South Alabama Jaguars,12,9,3,0.75,-7.21,-9.12,,1,0,,2,1,,4,2,,909,839,,67.3,110.3,0.391,0.343,0.557,50,44.8,12,10,0.529,12.4,28.7,0.263
274,South Carolina Gamecocks,11,7,4,0.636,9.06,-1.12,,,,,7,1,,0,1,,862,750,,67.9,112.9,0.361,0.482,0.565,51.5,56,7.2,5.8,0.522,12.6,28.4,0.28
275,South Carolina State Bulldogs,12,0,12,0,-25.36,-2.27,,,,,0,2,,0,10,,785,1062,,71.8,91.1,0.367,0.316,0.47,45,46.5,9.1,8.9,0.435,17.6,31.7,0.233
276,South Carolina Upstate Spartans,14,8,6,0.571,-4.49,-2.31,,,,,6,1,,2,5,,1115,984,,71.2,110.9,0.353,0.396,0.558,50.9,51.4,9.7,12.1,0.531,14,29.9,0.242
277,South Dakota Coyotes,13,7,6,0.538,-7.37,-4.01,,,,,6,2,,0,4,,1092,1064,,73.2,112.5,0.48,0.305,0.552,52.8,38.4,9.8,6.5,0.504,14.7,38.1,0.347
278,South Dakota State Jackrabbits,13,7,6,0.538,0.34,0.44,,,,,4,1,,2,2,,963,878,,68.6,108.1,0.351,0.418,0.553,54.4,53.8,9.3,7.5,0.522,15.3,31.6,0.245
279,South Florida Bulls,11,6,5,0.545,11.71,4.53,,,,,4,0,,1,2,,979,900,,76,115.8,0.449,0.44,0.551,51.9,56.3,12.8,13.1,0.501,13,39.1,0.336
280,Southeast Missouri Redhawks,12,5,7,0.417,-5.48,3.41,,0,1,,3,2,,1,5,,937,917,,74.3,105,0.325,0.371,0.538,50.6,46.4,9.4,8.9,0.506,14.7,29.6,0.231
281,Southeastern Louisiana Lions,11,4,7,0.364,-11.85,-5.85,,1,2,,1,2,,1,5,,722,756,,67,96.9,0.382,0.423,0.505,47.7,57.1,12.7,8.3,0.461,16.5,27.3,0.271
282,Southern University Jaguars,11,4,7,0.364,-8.87,4.26,,,,,3,0,,1,7,,957,880,,76.6,111.1,0.355,0.342,0.567,50.9,50,14.2,9.5,0.543,15.4,32.4,0.24
283,Southern California Trojans,12,11,1,0.917,15.21,3.21,,1,1,,5,1,,2,0,,1060,916,,73.1,117.2,0.533,0.352,0.6,51.4,57.6,8.6,16.7,0.554,14.5,32.6,0.396
284,Southern Illinois Salukis,12,6,6,0.5,2.78,-0.04,,0,1,,4,1,,1,4,,955,883,,71.7,108.8,0.362,0.273,0.556,53.2,50.3,11.2,9.4,0.53,15.5,33.3,0.243
285,SIU Edwardsville Cougars,12,7,5,0.583,-8.86,-6.75,,0,1,,3,2,,3,3,,933,803,,69.1,111.4,0.309,0.358,0.539,52.4,49.7,12.8,12.2,0.514,13,34.1,0.208
286,Southern Indiana Screaming Eagles,11,3,8,0.273,-18.37,-6.26,,0,1,,2,2,,1,4,,799,854,,73.2,99.2,0.349,0.44,0.498,47.3,47.8,9.1,11.3,0.474,14,27.9,0.214
287,SMU Mustangs,11,9,2,0.818,16.37,4.91,,,,,7,0,,1,1,,975,849,,74,117.1,0.397,0.318,0.582,52.3,55.7,11.3,9.6,0.539,13.3,34.5,0.305
288,Southern Miss Golden Eagles,12,7,5,0.583,-2.88,-2.78,,1,0,,4,0,,1,4,,908,850,,69.3,108.1,0.406,0.318,0.548,54.2,47.7,11.1,12.4,0.511,15.6,34.4,0.287
289,Southern Utah Thunderbirds,13,4,9,0.308,-17.62,2.48,,,,,3,1,,0,8,,1010,1053,,74.1,104.9,0.269,0.377,0.543,50.7,51.6,7.8,9.9,0.515,15.8,28.8,0.195
290,St Bonaventure Bonnies,12,10,2,0.833,5.45,-0.19,,,,,6,0,,2,0,,927,825,,67.8,112.8,0.275,0.304,0.556,54.2,57.2,12.2,14.3,0.526,15.4,38.7,0.206
291,St Johns Red Storm,10,7,3,0.7,24.98,9.38,,1,0,,6,1,,0,0,,879,723,,74.9,117.4,0.46,0.367,0.583,52.4,54.7,11.5,13.4,0.542,14.8,37.8,0.336
292,St Thomas Tommies,13,9,4,0.692,2.72,-1.01,,,,,5,0,,3,3,,1014,914,,70.5,110.7,0.32,0.463,0.582,47.3,56.1,12.7,7.8,0.558,12.7,19.5,0.225
293,Stanford Cardinal,11,9,2,0.818,10.34,0.61,,,,,6,2,,1,0,,899,792,,71.7,114,0.422,0.413,0.56,54.6,48,11.7,9.1,0.518,13.9,36,0.308
294,Stephen F Austin Lumberjacks,10,8,2,0.8,4.65,-4.8,,2,0,,6,0,,2,2,,790,678,,69,114.5,0.287,0.392,0.545,51.9,50,9.3,12.3,0.531,11.8,34,0.176
295,Stetson Hatters,12,4,8,0.333,-16.78,-1.78,,,,,4,1,,0,6,,840,942,,70,100,0.317,0.448,0.523,48.3,54.5,9.6,5.6,0.503,17,28.7,0.198
296,Stonehill Skyhawks,12,3,9,0.25,-16.22,-4.52,,,,,3,1,,0,7,,836,860,,70.2,98.2,0.239,0.397,0.521,53.4,52.6,6.9,10.4,0.498,18,29.7,0.165
297,Stony Brook Seawolves,12,8,4,0.667,-4.6,-4.4,,,,,6,1,,1,2,,878,809,,68.1,106.3,0.289,0.428,0.535,48.7,52.6,11.1,11,0.504,14.3,29.1,0.208
298,Syracuse Orange,11,7,4,0.636,9.49,1.31,,,,,6,1,,0,0,,802,712,,68,106.1,0.372,0.375,0.533,48.9,50.7,10.7,17.5,0.519,14,30.1,0.216
299,Tarleton State Texans,12,8,4,0.667,-1.77,1.35,,,,,6,0,,2,4,,970,867,,74.6,108.3,0.397,0.278,0.57,52.3,47.2,15,10.6,0.524,17.7,34.4,0.307
300,TCU Horned Frogs,11,8,3,0.727,14.08,2.44,,,,,5,3,,1,0,,849,721,,69.6,109.7,0.379,0.373,0.549,52.4,54.9,11.9,15.3,0.513,13.9,33.2,0.27
301,Temple Owls,12,7,5,0.583,0.17,-2.84,,,,,5,1,,1,1,,946,867,,66.8,117.9,0.473,0.375,0.587,50.1,52.2,7.7,12.5,0.545,11.4,27.1,0.348
302,Tennessee Volunteers,11,8,3,0.727,22.34,6.88,,,,,6,0,,0,1,,892,722,,69,117.4,0.364,0.346,0.568,58.4,65.1,10.9,11.9,0.535,15.4,44.7,0.261
303,Tennessee State Tigers,11,7,4,0.636,-6.4,0.97,,1,0,,3,0,,3,4,,873,822,,76.4,103.9,0.335,0.313,0.526,53.9,45.4,14.2,7.8,0.485,16.5,35.8,0.25
304,Tennessee Tech Golden Eagles,12,6,6,0.5,-4.77,3.12,,1,0,,4,1,,2,5,,974,931,,75.5,107.5,0.371,0.381,0.571,51.3,52.5,10.4,10.2,0.535,16.9,29.1,0.273
305,Tennessee Martin Skyhawks,12,8,4,0.667,-4.81,-3.04,,0,1,,5,0,,2,3,,906,798,,71.5,105.6,0.419,0.461,0.539,56.9,59.2,13.1,13,0.509,18.8,39.1,0.275
306,Texas Longhorns,12,8,4,0.667,15.41,1.59,,,,,6,1,,0,1,,1049,856,,71.7,121.9,0.461,0.378,0.596,58.7,47.5,8.7,8.2,0.561,13.8,39.3,0.331
307,Texas A&M Aggies,11,8,3,0.727,12.66,-3.52,,,,,6,1,,1,1,,1022,844,,74.8,122.8,0.437,0.479,0.602,53.6,70.7,12.4,8.8,0.56,13.6,36.1,0.333
308,Texas A&M CC Islanders,10,4,6,0.4,-4.71,7.87,,1,1,,3,0,,1,6,,747,708,,73,102.3,0.34,0.332,0.52,52.2,55.9,11.1,10.5,0.493,15.3,30.6,0.223
309,Texas Southern Tigers,9,1,8,0.111,-17.02,10.6,,,,,1,2,,0,6,,641,804,,74.3,94.5,0.379,0.306,0.51,45.5,37.3,8.3,8.7,0.473,18.2,26.4,0.257
310,Texas State Bobcats,13,7,6,0.538,-10.32,-6.86,,0,1,,7,1,,0,3,,965,892,,69.2,106.2,0.36,0.241,0.549,54.5,50.9,13.5,13,0.511,17.3,35.9,0.265
311,Texas Tech Red Raiders,11,8,3,0.727,20.44,10.71,,,,,6,0,,0,1,,920,813,,69.9,119.6,0.322,0.459,0.569,51.9,54.9,10,9.3,0.549,11.9,35.8,0.215
312,Texas Rio Grande Valley Vaqueros,10,4,6,0.4,-0.06,3.28,,1,1,,2,1,,2,5,,747,720,,69.5,107.6,0.245,0.395,0.558,49.6,54,9.4,7.5,0.536,14.7,27.1,0.173
313,The Citadel Bulldogs,12,3,9,0.25,-17.41,-2.97,,,,,3,3,,0,5,,858,906,,66.3,107.9,0.268,0.494,0.526,49.4,50,7.7,5.8,0.506,12.4,30.1,0.176
314,Toledo Rockets,11,5,6,0.455,-0.18,1.52,,,,,3,2,,1,3,,895,868,,71.6,113.7,0.309,0.331,0.564,49.4,55.2,11.1,8.1,0.525,13.2,32.1,0.243
315,Towson Tigers,11,6,5,0.545,0.07,4.27,,,,,3,0,,0,4,,752,755,,64.9,105.3,0.265,0.367,0.503,55.6,38.5,10.2,9.4,0.478,14,38.2,0.176
316,Troy Trojans,12,7,5,0.583,-1.41,-0.31,,,,,2,1,,4,3,,1068,960,,73.1,112.4,0.38,0.445,0.571,52,56.3,12.4,7.4,0.535,15.1,33.9,0.277
317,Tulane Green Wave,12,8,4,0.667,-5.58,-2.12,,,,,6,2,,1,0,,891,917,,68,108.1,0.468,0.435,0.561,44.9,54.2,12.3,14.2,0.506,13.1,22.8,0.358
318,Tulsa Golden Hurricane,11,10,1,0.909,14.15,-0.18,,,,,5,0,,1,1,,990,767,,69.7,129.2,0.433,0.479,0.626,58.3,58.9,9.8,6.8,0.584,12.7,38.2,0.341
319,UAB Blazers,12,8,4,0.667,4.74,-3.08,,,,,5,2,,1,2,,1010,868,,72.6,115.9,0.367,0.32,0.542,56.9,49,11.8,10,0.509,11.2,38.1,0.256
320,UC Davis Aggies,10,5,5,0.5,-0.79,2.33,,0,1,,4,1,,1,4,,756,757,,71.7,105.5,0.382,0.429,0.571,47.2,57.5,10.9,7.9,0.536,17.4,26.9,0.279
321,UC Irvine Anteaters,11,7,4,0.636,4.46,1.24,,2,0,,5,2,,1,1,,875,703,,72.6,108.3,0.403,0.274,0.544,53.3,60.3,9.7,16.1,0.515,14.6,32.8,0.267
322,UC Riverside Highlanders,12,6,6,0.5,-8.07,-0.47,,1,1,,3,1,,3,5,,896,906,,69.6,107.2,0.353,0.389,0.562,51.1,47.9,7.2,10,0.529,16.4,29.4,0.253
323,UC San Diego Tritons,11,10,1,0.909,10.31,-0.3,,1,0,,3,0,,3,1,,911,773,,69.9,118.5,0.352,0.425,0.6,52,54.2,11.2,5.6,0.583,13.4,28.9,0.235
324,UC Santa Barbara Gauchos,12,8,4,0.667,-0.01,-1.81,,2,0,,5,1,,1,2,,953,869,,67.2,115.8,0.434,0.378,0.583,55.6,53.6,11.1,8.5,0.538,15.4,36.4,0.331
325,UCF Knights,10,9,1,0.9,14.59,1.19,,,,,7,1,,1,0,,873,739,,71.4,122.3,0.34,0.338,0.591,57.2,56.1,7.3,9.5,0.558,14.1,42.4,0.256
326,UCLA Bruins,11,8,3,0.727,16.53,6.26,,2,0,,7,0,,1,0,,857,744,,67,116.2,0.361,0.342,0.582,51.2,59.3,10,12.2,0.548,13.6,33.7,0.266
327,UNC Asheville Bulldogs,13,6,7,0.462,-3.87,0.43,,,,,5,3,,0,4,,985,947,,69.2,108.5,0.385,0.37,0.579,52.2,47.1,8.5,6.5,0.549,18.2,31.7,0.271
328,UNC Greensboro Spartans,12,3,9,0.25,-9.99,0.46,,,,,1,3,,1,3,,888,975,,69.9,104.8,0.434,0.406,0.54,47.2,48.1,7.1,5.2,0.504,14.1,25.5,0.295
329,UNC Wilmington Seahawks,11,10,1,0.909,3.68,-8.02,,,,,7,0,,3,1,,880,734,,67.3,118.9,0.446,0.375,0.562,57.3,50.3,7,5.3,0.526,12.9,41.1,0.31
330,UT Arlington Mavericks,11,7,4,0.636,-1.89,0.11,,,,,4,0,,3,3,,803,714,,69.9,104.4,0.375,0.312,0.539,56.5,51.5,11.2,11.6,0.507,18,38.7,0.256
331,Utah Utes,11,7,4,0.636,3.59,1.86,,,,,6,1,,0,1,,888,869,,71,112.4,0.399,0.416,0.575,50.1,53,8.4,9.6,0.536,14.6,30.1,0.296
332,Utah State Aggies,10,9,1,0.9,16,3.45,,,,,4,0,,1,1,,845,676,,70,119.2,0.346,0.384,0.606,53.9,61,15.7,10.2,0.58,15,35.9,0.25
333,Utah Tech Trailblazers,12,6,6,0.5,-5.77,-0.21,,,,,4,1,,1,4,,947,863,,71.1,107.6,0.329,0.411,0.559,50.1,49.4,10.7,7.1,0.527,15.6,29.6,0.237
334,Utah Valley Wolverines,12,9,3,0.75,12.69,4.29,,,,,5,0,,1,3,,980,784,,70.9,115.2,0.309,0.362,0.603,55.2,64.5,14,16.7,0.582,17.9,37.1,0.219
335,UTEP Miners,9,3,6,0.333,-5.45,7.22,,,,,3,1,,0,3,,649,645,,69,103.1,0.335,0.328,0.521,46.9,47.1,12.9,11.9,0.493,15.2,30,0.222
336,UTSA Roadrunners,11,4,7,0.364,-14.76,0.57,,,,,2,2,,1,4,,787,825,,72.4,98.9,0.309,0.423,0.483,49.3,46.6,10.4,12.4,0.454,14.1,32.8,0.198
337,Valparaiso Beacons,11,6,5,0.545,-3.67,-2.87,,,,,5,2,,1,3,,801,769,,67.9,106,0.337,0.393,0.508,50.7,49.3,9.7,12.5,0.472,13.2,35,0.236
338,Vanderbilt Commodores,11,11,0,1,24.43,3.34,,,,,6,0,,2,0,,1031,799,,74.4,124.6,0.382,0.461,0.615,54.9,59.9,13.8,14.4,0.582,12.3,33.6,0.291
339,Vermont Catamounts,13,8,5,0.615,-2.21,-2.3,,,,,4,1,,3,2,,1015,956,,65.9,116.2,0.331,0.463,0.594,53.8,52.1,7.2,8.6,0.563,13.7,28.7,0.249
340,Villanova Wildcats,10,8,2,0.8,15.51,3.21,,,,,6,0,,1,1,,804,681,,65.7,122.4,0.299,0.475,0.581,54,57.3,10.8,4.8,0.559,12.8,39.2,0.208
341,Virginia Cavaliers,10,9,1,0.9,18.25,-1.35,,,,,6,0,,1,0,,871,675,,68,128.1,0.415,0.457,0.604,56.9,57.5,10,17.9,0.58,12.5,41.9,0.287
342,VCU Rams,12,8,4,0.667,15.02,1.19,,,,,6,1,,0,1,,1026,860,,71.7,119.2,0.443,0.468,0.583,52.6,56.3,11.4,12.2,0.546,14.4,36.3,0.319
343,VMI Keydets,12,5,7,0.417,-18.58,-3.24,,,,,4,1,,1,4,,925,894,,71.1,108.5,0.29,0.548,0.529,48.2,51,11.4,7.8,0.499,12.5,30.8,0.206
344,Virginia Tech Hokies,12,10,2,0.833,13.31,2.06,,,,,7,0,,1,0,,998,863,,69.9,116.5,0.328,0.383,0.566,50.1,54.7,10.6,11.1,0.539,10.9,30.7,0.231
345,Wagner Seahawks,10,4,6,0.4,-9.57,-1.32,,,,,3,0,,1,6,,772,780,,70.3,105.9,0.299,0.38,0.551,52.3,51.6,8.1,7.7,0.528,17.7,34.3,0.204
346,Wake Forest Demon Deacons,12,9,3,0.75,15.43,2.43,,,,,7,1,,0,0,,1024,868,,72.8,116,0.361,0.432,0.576,51.2,55.4,13.1,12.9,0.538,13.6,34.3,0.273
347,Washington Huskies,10,7,3,0.7,13.41,2.11,,1,1,,4,1,,2,1,,847,734,,70.2,117.7,0.385,0.332,0.558,56,48.6,8.8,11.7,0.515,12.4,38.8,0.292
348,Washington State Cougars,12,4,8,0.333,2.37,4.73,,,,,2,3,,0,3,,906,927,,69.4,108.8,0.336,0.447,0.578,53.6,47.6,8.9,9.1,0.543,17,30.5,0.254
349,Weber State Wildcats,11,5,6,0.455,-0.84,-0.34,,,,,4,1,,1,5,,903,816,,73.4,110.5,0.317,0.339,0.55,54.6,50.5,9.8,5.6,0.524,14.8,35.1,0.219
350,West Georgia Wolves,11,6,5,0.545,-9.09,0.03,,,,,4,2,,2,3,,841,865,,71.2,105,0.275,0.324,0.521,49.6,48.2,10,13.2,0.494,14.2,32.2,0.189
351,West Virginia Mountaineers,12,8,4,0.667,10.15,-4.27,,,,,8,0,,0,0,,904,731,,65.3,113,0.43,0.417,0.555,53.6,55.4,11.1,10.2,0.521,13.8,32.8,0.294
352,Western Carolina Catamounts,11,4,7,0.364,-10.71,6.85,,,,,4,0,,0,7,,850,895,,74.3,104,0.276,0.398,0.53,53.2,47.6,10.4,9.1,0.505,16.4,33.4,0.189
353,Western Illinois Leathernecks,12,4,8,0.333,-19.96,-4.07,,0,1,,3,2,,1,6,,826,911,,66.9,101.9,0.351,0.303,0.506,51,32.6,8.1,6.9,0.473,15.2,34.4,0.234
354,Western Kentucky Hilltoppers,10,7,3,0.7,4.48,2.98,,,,,5,0,,1,1,,848,763,,74.5,112.5,0.447,0.348,0.543,52.4,48.9,11.5,8.1,0.493,12.5,33.7,0.331
355,Western Michigan Broncos,11,5,6,0.455,-9.38,-4.18,,,,,4,1,,1,5,,818,874,,72.1,103.1,0.328,0.335,0.542,52.1,50.5,6.4,7.6,0.506,17.7,30.3,0.24
356,Wichita State Shockers,12,7,5,0.583,10.78,2.41,,,,,6,1,,1,1,,925,807,,65.4,116.6,0.391,0.352,0.547,55.3,41.4,8.6,10.5,0.513,12.4,40.6,0.272
357,William & Mary Tribe,12,9,3,0.75,5.33,1.73,,,,,4,0,,3,3,,1042,912,,77.7,111.8,0.418,0.441,0.607,51.1,65.7,11.7,11.4,0.571,17,28.9,0.314
358,Winthrop Eagles,13,7,6,0.538,2.1,-3.27,,,,,4,1,,2,5,,1157,1003,,72.2,122.1,0.376,0.467,0.584,53.4,52.7,10.1,11.2,0.548,12,35.8,0.282
359,Wisconsin Badgers,10,7,3,0.7,14.05,4.35,,1,1,,6,0,,0,1,,851,754,,72.7,117,0.338,0.512,0.571,53.1,56,10.2,9.6,0.527,12.2,32.5,0.271
360,Wofford Terriers,12,7,5,0.583,-6.12,-3.21,,,,,4,1,,3,4,,892,900,,68.1,109.1,0.395,0.449,0.53,52.2,58.6,8.9,9.6,0.489,13.1,34.4,0.281
361,Wright State Raiders,12,5,7,0.417,2.25,0.35,,1,1,,3,2,,1,4,,940,819,,68.7,112.8,0.293,0.37,0.563,51.2,49.1,13.4,12.2,0.544,13.8,32.4,0.195
362,Wyoming Cowboys,11,9,2,0.818,15.32,-0.08,,,,,8,0,,0,2,,967,789,,72.3,121.5,0.37,0.375,0.589,56.6,51.4,11.2,7.2,0.564,13.5,38,0.256
363,Xavier Musketeers,12,8,4,0.667,5.6,2.68,,0,1,,7,2,,0,1,,919,884,,71.4,107.3,0.302,0.441,0.526,48.3,69.8,10,10.1,0.5,11.3,27.1,0.203
364,Yale Bulldogs,12,11,1,0.917,9.09,-2.11,,,,,4,1,,3,0,,1047,853,,68.1,128.2,0.379,0.349,0.634,54.5,58.6,8.6,10.4,0.597,11.9,34.8,0.301
365,Youngstown State Penguins,12,7,5,0.583,-1.27,-2.97,,2,1,,4,0,,2,4,,962,832,,69.8,113.7,0.305,0.485,0.599,51.7,51.9,11.8,8.7,0.576,17.8,34.1,0.221
