,,Overall,,,,,,,Conf.,,,Home,,,Away,,,Points,,,School Advanced,,,,,,,,,,,,
Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
59,Columbia Lions,11,9,2,0.818,4.67,-5.83,,,,,6,0,,3,2,,886,733,,68.4,116.4,0.28,0.386,0.585,59.7,55.2,8.8,9.8,0.561,16.8,41,0.203
60,Connecticut Huskies,12,11,1,0.917,26.99,9.65,,1,0,,7,1,,1,0,,948,740,,67.4,117.2,0.308,0.368,0.582,53.8,62.6,10.8,16.9,0.561,13.3,33.8,0.214
61,Coppin State Eagles,14,2,12,0.143,-29.68,-3.98,,,,,1,0,,1,9,,915,1208,,71.3,91.6,0.34,0.341,0.491,46.3,54.7,9.6,7.9,0.446,19.2,29.7,0.247
62,Cornell Big Red,10,5,5,0.5,-2.15,-3.15,,,,,3,0,,2,5,,911,858,,75.3,118,0.307,0.538,0.625,51,67.6,8.2,6.5,0.605,15.9,29,0.223
63,Creighton Bluejays,11,6,5,0.545,13.66,8.12,,1,0,,4,1,,1,2,,844,783,,68.2,112.6,0.254,0.493,0.566,51.1,62.8,8.5,7.3,0.541,14.7,32.3,0.186
64,Dartmouth Big Green,10,5,5,0.5,-4.3,-3.97,,,,,3,2,,2,3,,778,736,,70.4,110.5,0.389,0.519,0.585,53.8,58.5,6.7,10.3,0.551,17.5,30.7,0.285
65,Davidson Wildcats,11,8,3,0.727,5.98,0.58,,,,,6,2,,1,0,,827,739,,65.6,114.6,0.408,0.424,0.587,51.4,53.9,10.4,9.9,0.562,14,29.3,0.278
66,Dayton Flyers,12,9,3,0.75,10.42,0.08,,,,,7,0,,1,1,,974,850,,71.1,111.9,0.496,0.433,0.582,48.8,57.1,13.8,13.9,0.538,14.6,26.9,0.362
67,Delaware Blue Hens,11,4,7,0.364,-8.83,-3.93,,,,,2,3,,1,3,,752,810,,67.4,100.3,0.25,0.433,0.552,48.2,57,8.8,10.3,0.525,17.9,23.3,0.186
68,Delaware State Hornets,13,4,9,0.308,-21.94,-5.24,,,,,3,1,,1,7,,793,944,,68.2,88.6,0.249,0.276,0.455,47.4,49,13.2,5.3,0.425,15.4,26.3,0.167
